SMILES_STANDARD,fup_log10
N#CC1(c2ccccc2)CCN(Cc2cc(C(=O)O)c(=O)n3ccccc23)CC1,-1.0
O=C(c1ccc(F)c(F)c1)N1CCN2C(=O)c3ccccc3C12C1CCCCC1,-2.09691001
CS(=O)(=O)NC[C@H]1CC[C@H](N=c2[nH]c3c(s2)CCSc2ccccc2-3)CC1,-1.74472749
O=C1OC(c2ccccc2)CC(O)=C1Sc1ccccc1Cl,-2.09691001
Nc1ncnc2c1C(=O)N(c1ccc(-c3ccc(C(F)F)cc3Cl)cc1)CCO2,-1.65757732
CO[C@H]1CN(c2nc(C(=O)N3CCOCC3)c(C(=O)O)s2)CC[C@H]1NC(=O)c1[nH]c(C)c(Cl)c1Cl,-0.85387196
Oc1c(F)cc(Br)cc1CNCC12CC3CC(CC(C3)C1)C2,-0.00217692
Cc1ccc(NCc2ccc3c(n2)NCCC3)c(=O)n1CC(=O)N[C@@H](CC(=O)O)c1cccnc1,-1.05551733
CC(C)c1ncc([C@@H](CCCCCCc2ccc3c(n2)NCCC3)CC(=O)O)cn1,-2.0
C[C@@](C(=O)O[C@H]1C[N+]2(CC(=O)Nc3ccccc3)CCC1CC2)(c1ccccc1)N1CCCCC1,-1.85387196
CC(=O)CCCCC[C@H](NC(=O)C1CCN(C)CC1)c1ncc(-c2ccc3ccccc3c2)[nH]1,-1.39794001
O=C(Nc1nc(-c2cccc(C(F)(F)F)c2F)cs1)c1cnc(N2CCC(C(=O)O)CC2)c(Cl)c1,-2.30103
CO[C@H]1CN(c2nc(-c3cncc(NCCN4CCN(C)CC4)n3)c(C(=O)O)s2)CC[C@H]1NC(=O)c1[nH]c(C)c(Cl)c1Cl,-1.56863624
COc1nc(C)nc(Cl)c1NC1=NCCN1,-0.03151705
Cc1nc(Nc2ccc(C(=O)O)cc2)ncc1CN1CCC(N2C(=O)N(C3CCOCC3)C[C@H]2c2cccc(Cl)c2)CC1,-0.95860731
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(C)CC3)cc21,-0.12493874
CN(C)[C@]1(C)C[C@H](C(=O)N2CCC(c3ccnn3-c3ccc(F)c(Cl)c3)CC2)[C@@H](c2ccc(F)cc2F)C1,-0.84163751
COc1cc(N2C(=O)N(c3ccc(-c4ccc(C(=O)O)cc4)nc3)C(=O)C23CCN(Cc2ncccc2C)CC3)ncn1,-1.65757732
Cc1[nH]c(=N)ccc1CNC(=O)Cn1c(C)cc(S(=O)(=O)c2cccs2)c(N)c1=O,-0.22184875
COc1cc2nc[nH]c(=Nc3cccc(Cl)c3F)c2cc1CN1CCC[C@H]1C(N)=O,-1.30103
O=C(CN1C(=O)C(NC(=O)c2cc3cc(Cl)sc3[nH]2)Cc2ccccc21)NCCO,-0.00436481
Cc1cccc(N=c2cc[nH]cc2S(=O)(=O)NC(=O)NC(C)C)c1,-2.0
O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,-1.15490196
N#Cc1ccc(NCC(F)(F)c2cccc(F)c2)c(F)c1CC(=O)NCCONC(=N)N,-0.82390874
C[C@@]1(c2cc(F)cc(F)c2)CNC2(CCCC2)C(=O)N1CC(=O)Nc1cnc2c(c1)C[C@@]1(C2)C(O)=Nc2ncccc21,-0.45593196
CNC(=O)[C@@]12C[C@@H]1[C@@H](n1cnc3c(NC)nc(C#Cc4ccc(Cl)s4)nc31)[C@H](O)[C@@H]2O,-1.56863624
Cc1noc2c(F)c3c(cc12)CC1(C(O)=NC(=O)N=C1O)[C@@H]1[C@@H](C)O[C@@H](C)CN31,-1.45593196
CN[C@@H](C)C(=O)N[C@H]1CCC[C@H]2C[C@H]3CCN(CCc4ccccc4F)C[C@H]3N2C1=O,-0.30980392
O=C(Nc1cc(-c2cc3c([nH]2)C2(CCCNC2)CN=C3O)ccn1)c1cccc(OC(F)(F)F)c1,-1.88605665
CC(=O)N1C2C=C(CN3C4CCC3CC(NC(=O)Nc3cc(F)cc(C(F)(F)F)c3)C4)CC1CCC2,-1.15490196
C[C@H](c1nc(O)c2cnn(C3CCOCC3)c2n1)N1CC(Oc2ccccc2)C1,-0.63827216
CCc1nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CCOc1ccccc1,-2.0
O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,-2.30103
C[C@@H]1CN(c2nc(C(F)(F)F)no2)CCN1c1ncc(OCc2ccncc2C#N)cn1,-2.0
CS(=O)(=O)Cc1ccc(-c2ccc(N3CCOc4ncnc(N)c4C3=O)cc2)c(Cl)c1,-0.67366414
CN1CCSCC1c1nc(C(=O)NCc2ccc(F)cc2)c(O)c(=O)n1C,-0.76955108
